,Unnamed: 0,agent0_angle,time,frames,agent1_angle,agent1_x,agent0_y,agent0_x,agent1_y,agent0_vx,agent0_vy,agent0_speed,agent0/agent1_dist,agent1_vx,agent1_vy,agent1_speed
419,419,187.489,Wed Mar 01 12:17:34 2017,420,272.389,57.7455,58.5441,66.2228,63.3872,-7.3091544921874805,0.20388749999997755,,9.763208125406328,-1.885959374999981,-0.013804882812505553,
420,420,187.487,Wed Mar 01 12:17:34 2017,421,270.914,57.7455,58.5608,65.6329,63.3872,-10.423748437500004,1.3730548828125069,,9.246903033989277,-1.8689687500000207,-1.8944546875000368,
421,421,196.0,Wed Mar 01 12:17:34 2017,422,266.42900000000003,57.5695,58.6734,65.2412,63.2088,-7.28366855468754,1.2849160156250237,,8.912061156096275,-1.8689687500000207,-1.8944546875000368,
422,422,219.533,Wed Mar 01 12:17:34 2017,423,266.42900000000003,57.5695,58.6818,64.947,63.2088,-4.1648269531251785,0.11574863281249433,,8.655705358317139,0.0,0.0,
423,423,229.005,Wed Mar 01 12:17:34 2017,424,269.928,57.5695,58.6843,64.84899999999999,63.2088,-1.0194375000000386,1.095895312499936,,8.571010471350496,0.0,0.0,
424,424,242.689,Wed Mar 01 12:17:34 2017,425,271.79900000000004,57.5695,58.785,64.851,63.2088,-2.035689257812321,3.2706953124999982,,8.519991120300537,0.01592871093765151,-1.8806498046874556,
425,425,259.926,Wed Mar 01 12:17:34 2017,426,274.315,57.57100000000001,58.9923,64.6573,63.0317,-3.069993554687551,4.37827167968752,,8.156739547760486,0.01592871093765151,-1.8806498046874556,
426,426,268.125,Wed Mar 01 12:17:34 2017,427,274.315,57.57100000000001,59.1973,64.5619,63.0317,-0.9270509765626408,7.55127089843752,,7.973412454526592,0.0,0.0,
427,427,263.01,Wed Mar 01 12:17:34 2017,428,273.689,57.57100000000001,59.7034,64.57,63.0317,0.12105820312509515,7.528970703125034,,7.750069799040505,-1.8700306640626314,-1.8944546875000368,
428,428,256.594,Wed Mar 01 12:17:34 2017,429,273.415,57.3949,59.9063,64.5733,62.8533,0.052033789062567365,3.2345902343750073,,7.75978321604412,-1.8700306640626314,-1.8944546875000368,
429,429,245.112,Wed Mar 01 12:17:34 2017,430,271.997,57.3949,60.008,64.5749,62.8533,0.023362109375021006,2.1652427734374715,,7.723220318623571,0.0,0.0,
430,430,215.058,Wed Mar 01 12:17:35 2017,431,271.997,57.3949,60.1102,64.5755,62.8533,0.0010619140625352519,1.0852761718749606,,7.686716722372437,-1.8700306640624804,-1.8955166015624965,
431,431,202.30900000000003,Wed Mar 01 12:17:35 2017,432,270.171,57.2188,60.1102,64.575,62.6748,-2.0855992187501196,1.1341242187499978,,7.790433338396524,-1.885959374999981,-0.013804882812505553,
432,432,192.715,Wed Mar 01 12:17:35 2017,433,272.097,57.2173,60.217,64.3791,62.852,-5.204440820312481,2.2894867187500214,,7.631160084810165,0.0,0.0,
433,433,167.22,Wed Mar 01 12:17:35 2017,434,271.814,57.2188,60.3258,64.0849,62.6748,-4.187127148437438,0.10619140624997887,,7.256798895518603,0.015928710937500604,-1.881711718749991,
434,434,158.158,Wed Mar 01 12:17:35 2017,435,271.814,57.2188,60.227,63.9848,62.6748,-4.217922656250054,-2.0367511718750824,,7.195170660936402,0.015928710937500604,-1.8806498046874556,
435,435,149.33700000000005,Wed Mar 01 12:17:35 2017,436,273.128,57.2203,60.13399999999999,63.6877,62.4977,-5.262846093750034,-2.00064609374994,,6.885807174906949,-1.8700306640624804,-1.8944546874999613,
436,436,151.77100000000004,Wed Mar 01 12:17:35 2017,437,273.368,57.0427,60.0386,63.4892,62.4964,-5.28514628906252,-3.063622070312415,,6.899140750122432,-1.8689687500000207,-1.8955166015624965,
437,437,170.56099999999995,Wed Mar 01 12:17:35 2017,438,273.925,57.0443,59.8455,63.19,62.3192,-3.1899898437499603,-3.118841601562513,,6.6248637857694845,0.016990624999960402,-1.881711718749991,
438,438,184.452,Wed Mar 01 12:17:35 2017,439,273.925,57.0443,59.7449,63.1888,62.3192,-4.173322265625007,0.13167734374999493,,6.661974237416414,0.0,0.0,
