,agent0_x,time,agent1_x,agent0_y,agent1_angle,agent0_angle,agent1_y
91,Attraction,follows,24.4444,23.7544,-8.570039999999999,-0.149575,2
92,Attraction,follows,24.4444,23.7544,-8.570039999999999,-0.149575,2
93,Attraction,follows,24.6524,23.7524,-8.57115,-0.149595,2
94,Attraction,follows,24.7567,23.7514,-9.068019999999999,-0.15826700000000002,2
95,Attraction,follows,25.3867,23.9571,-20.9439,-0.365539,2
96,Attraction,follows,25.5949,23.9548,-29.0332,-0.506725,2
97,Attraction,follows,25.9098,24.0574,-38.2342,-0.667312,2
98,Attraction,follows,26.1279,24.3734,-52.9992,-0.925011,2
99,Attraction,follows,26.4462,24.5823,-63.7494,-1.11264,2
100,Attraction,follows,26.4523,24.7943,-58.6326,-1.0233299999999999,2
101,Attraction,follows,26.4553,24.9008,-48.7554,-0.850941,2
102,Attraction,follows,26.6657,25.0047,-42.3735,-0.739557,2
103,Attraction,follows,26.6687,25.1111,-31.6441,-0.552294,2
104,Attraction,follows,26.7722,25.11,-30.1181,-0.525659,2
105,Attraction,follows,26.9867,25.3193,-46.532,-0.812137,2
106,Attraction,follows,27.094,25.4239,-58.64,-1.02346,2
107,Attraction,follows,27.311999999999998,25.7397,-82.7035,-1.44345,2
108,Attraction,follows,27.3156,25.8463,265.83299999999997,4.63966,2
109,Attraction,follows,27.322,26.0583,260.043,4.5386,2
110,Attraction,follows,27.2375,26.6956,244.114,4.2605900000000005,2
111,Attraction,follows,27.0398,27.0156,242.648,4.23501,2
112,Attraction,follows,26.9393,27.1227,241.535,4.21558,2
113,Attraction,follows,26.9394,27.1225,246.815,4.30773,2
114,Attraction,follows,27.0398,27.0152,250.75799999999998,4.37656,2
115,Attraction,follows,27.0237,26.4851,268.778,4.69106,2
116,Attraction,follows,27.0171,26.2731,-85.3268,-1.4892299999999998,2
117,Attraction,follows,26.9067,26.0621,-76.6767,-1.33826,2
118,Attraction,follows,26.7895,25.6392,-61.1245,-1.06682,2
119,Attraction,follows,26.6824,25.5345,-57.1282,-0.997075,2
120,Attraction,follows,26.4714,25.4307,-50.6396,-0.883827,2
121,Attraction,follows,26.4678,25.3247,-44.4409,-0.7756390000000001,2
122,Attraction,follows,26.3578,25.1139,-46.5207,-0.8119390000000001,2
123,Attraction,follows,26.3581,25.1136,-54.6904,-0.954527,2
124,Attraction,follows,26.3616,25.2196,-61.1189,-1.06673,2
125,Attraction,follows,26.4663,25.2189,-82.3934,-1.43804,2
126,Attraction,follows,26.3628,25.2203,268.79200000000003,4.69131,2
127,Attraction,follows,26.4668,25.2195,260.058,4.538869999999999,2
128,Attraction,follows,26.4667,25.2204,241.541,4.21569,2
129,Attraction,follows,26.4698,25.3267,235.076,4.10285,2
130,Attraction,follows,26.473000000000003,25.4327,233.262,4.0712,2
131,Attraction,follows,26.4732,25.4324,241.541,4.21568,2
132,Attraction,follows,26.2721,25.6458,260.06,4.53891,2
133,Attraction,follows,26.2752,25.7514,266.14599999999996,4.6451199999999995,2
134,Attraction,follows,26.1745,25.8584,-85.3078,-1.4889,2
135,Attraction,follows,26.177,25.9639,-67.5597,-1.1791399999999999,2
136,Attraction,follows,26.1832,26.1761,-59.6782,-1.04158,2
137,Attraction,follows,26.3965,26.3857,-46.4903,-0.811409,2
138,Attraction,follows,26.3995,26.4921,-35.8012,-0.624848,2
139,Attraction,follows,26.7198,26.8067,-23.5821,-0.41158500000000003,2
140,Attraction,follows,26.9273,26.8046,-18.042,-0.314892,2
141,Attraction,follows,27.0342,26.9097,-8.481069999999999,-0.14802300000000002,2
142,Attraction,follows,27.2416,26.9076,-2.41993,-0.042235699999999994,1
143,Attraction,follows,27.3483,27.0124,0.658245,0.0114885,1
144,Attraction,follows,27.5524,26.9043,3.58284,0.0625324,1
145,Attraction,follows,27.9666,26.8995,3.58344,0.0625428,1
146,Attraction,follows,28.1737,26.8972,3.58374,0.0625481,1
147,Attraction,follows,28.4844,26.8936,3.7382199999999997,0.0652443,2
148,Attraction,follows,28.6915,26.8914,9.85253,0.171959,2
149,Attraction,follows,28.9992,26.7823,19.5842,0.34181,2
150,Attraction,follows,29.3098,26.7788,26.55,0.463384,2
151,Attraction,follows,29.4135,26.7776,33.5431,0.585437,1
152,Attraction,follows,29.2067,26.7799,33.5416,0.585411,1
153,Attraction,follows,29.0026,26.8882,27.951999999999998,0.48785500000000004,1
154,Attraction,follows,28.5948,27.1044,22.4851,0.39244,1
155,Attraction,follows,28.3909,27.2125,19.5885,0.341884,2
156,Attraction,follows,28.3909,27.2125,19.5885,0.341884,2
157,Attraction,follows,28.3885,27.1067,36.1067,0.6301800000000001,2
158,Attraction,follows,28.5958,27.1041,44.6664,0.779576,2
159,Attraction,follows,28.596,27.1039,53.2642,0.929636,2
160,Attraction,follows,28.596,27.1039,53.2642,0.929636,2
161,Attraction,follows,28.4922,27.1054,42.6615,0.744583,2
162,Attraction,follows,28.3909,27.2125,19.5885,0.341884,2
163,Attraction,follows,28.2839,27.1077,9.85623,0.172024,2
164,Attraction,follows,28.3866,27.1059,-8.03252,-0.140194,2
165,Attraction,follows,28.3869,27.1056,-15.1139,-0.263787,2
166,Attraction,follows,28.4873,26.9983,-24.8403,-0.43354499999999996,2
167,Attraction,follows,28.804000000000002,27.2059,-31.6199,-0.551871,2
168,Attraction,follows,29.0171,27.4149,-31.6174,-0.551829,1
169,Attraction,follows,29.4368,27.6215,-31.6191,-0.5518569999999999,1
170,Attraction,follows,29.9624,27.9329,-14.3117,-0.24978699999999998,1
171,Attraction,follows,30.1693,27.930999999999997,-2.3923799999999997,-0.041754900000000005,1
172,Attraction,follows,30.3794,28.0347,18.683,0.32608000000000004,2
173,Attraction,follows,30.3799,28.0347,26.5773,0.463862,2
174,Attraction,follows,30.4839,28.0332,46.836999999999996,0.8174600000000001,2
175,Attraction,follows,30.5874,28.0316,57.4547,1.0027700000000002,2
176,Attraction,follows,30.5906,28.1369,64.0912,1.1186,2
177,Attraction,follows,30.5876,28.031,70.7204,1.2343,1
178,Attraction,follows,30.4874,28.1382,61.5186,1.0737,1
179,Attraction,follows,30.3869,28.2455,48.9918,0.8550690000000001,1
180,Attraction,follows,30.3832,28.1403,34.4873,0.601916,1
181,Attraction,follows,30.383000000000003,28.1403,29.3491,0.512238,2
182,Attraction,follows,30.3799,28.0347,26.5773,0.463862,2
183,Attraction,follows,30.4834,28.0334,33.5644,0.585809,2
184,Attraction,follows,30.4869,28.1388,44.6791,0.779798,2
185,Attraction,follows,30.5903,28.1374,50.983999999999995,0.8898389999999999,1
186,Attraction,follows,30.5903,28.1374,50.983999999999995,0.8898389999999999,1
187,Attraction,follows,30.4865,28.139,36.1304,0.630594,1
188,Attraction,follows,30.5864,28.0322,26.5788,0.463888,1
189,Attraction,follows,30.5829,27.9267,21.4594,0.374537,1
190,Attraction,follows,30.6832,27.8198,19.6165,0.34237199999999995,2
191,Attraction,follows,30.8896,27.8173,19.6179,0.342396,2
192,Attraction,follows,31.0936,27.7093,36.1305,0.6305970000000001,2
193,Attraction,follows,31.3003,27.7067,44.6808,0.779827,2
194,Attraction,follows,31.4006,27.5998,48.993,0.855089,2
195,Attraction,follows,31.5039,27.5983,55.0736,0.961216,2
196,Attraction,follows,31.3003,27.7067,44.6808,0.779827,2
197,Attraction,follows,31.0966,27.8149,33.5664,0.5858439999999999,2
198,Attraction,follows,30.9926,27.8161,18.6828,0.32607600000000003,1
199,Attraction,follows,30.8858,27.7114,3.61162,0.0630346,1
200,Attraction,follows,30.8885,27.8166,-5.1494599999999995,-0.089875,1
201,Attraction,follows,30.7792,27.6061,-17.1399,-0.299148,1
202,Attraction,follows,30.8824,27.6046,-23.6155,-0.41216899999999995,2
203,Attraction,follows,30.8824,27.6046,-23.6155,-0.41216899999999995,2
204,Attraction,follows,30.8854,27.7109,-8.02442,-0.140053,2
205,Attraction,follows,30.989,27.71,-2.4002,-0.0418913,2
206,Attraction,follows,31.1928,27.6024,12.8797,0.224793,2
207,Attraction,follows,31.4053,27.8112,18.6855,0.32612399999999997,2
208,Attraction,follows,31.3998,27.6001,26.5785,0.46388199999999996,2
